0,1,2,3,label
4.1613026,-0.29444894,6.7522035,6.4772987,0
1.7688038,-1.1093684,6.695105,7.2479663,0
2.5518122,0.40269634,5.4084873,5.885122,0
1.4142263,0.05786961,8.375182,6.1843295,0
2.2965965,-1.5739646,5.640108,7.3262625,0
1.9444933,-0.90070933,10.611253,7.554701,0
4.023414,0.5310382,6.727003,6.596574,0
1.699124,-0.40784326,6.455822,6.547085,0
1.8678042,-0.2636911,5.830226,6.0637994,0
2.2920113,1.2720265,7.607718,7.9185205,0
2.5367944,-1.6616457,9.108403,7.6201735,0
1.351323,-0.8145518,6.597896,6.7711344,0
3.2963128,-0.17422593,4.735614,6.4418483,0
2.309424,-0.47670949,9.463103,7.1141872,0
2.3736212,-0.45343828,4.6845803,7.4835477,0
3.1411293,-1.2666975,8.309246,7.607646,0
0.29858258,0.0063498006,7.1442494,8.123312,0
2.8208487,0.0416925,8.288837,7.2967896,0
3.2732449,-0.024246702,4.9669714,6.3291683,0
3.2582915,-0.15191199,4.9684906,6.5703454,0
2.4658427,1.1884286,8.348777,6.430956,0
3.0635488,0.062102616,8.017773,7.02715,0
3.427855,0.33106464,5.6266847,6.491603,0
4.009378,0.35647678,7.6438756,6.8237906,0
2.1241186,-1.1915405,8.074057,6.993978,0
1.935264,-0.5385558,6.4761133,6.2099457,0
3.1312644,0.28237933,9.424174,7.8749375,0
2.9566567,0.48857558,8.88309,7.6982746,0
3.9195778,0.22195151,8.632165,7.816036,0
1.7904149,-0.96642166,8.966658,7.953822,0
0.5443749,0.16614495,7.357622,8.009676,0
2.416937,-0.73112696,9.478096,6.4209523,0
3.2520034,-0.28281173,9.500071,7.8012543,0
2.5515978,-0.5708045,8.944394,6.1068816,0
2.3209379,-1.2308124,8.415543,8.030349,0
2.125434,-1.1669204,6.306486,7.0451956,0
2.607461,-0.3445097,9.363327,7.1778893,0
2.4351084,0.8218946,8.975139,7.4052625,0
1.5183611,-0.9003165,7.858774,7.918748,0
3.4181552,0.28031737,9.095679,8.032475,0
2.8877609,0.91187334,7.6026745,7.1346407,0
1.8222384,0.31101403,7.3877687,6.210868,0
2.8008416,3.4196432,8.380998,5.873542,0
3.5744276,-0.3117676,8.358916,6.0845613,0
2.0361824,0.37823346,5.686294,5.8896112,0
2.1364903,-1.6042895,8.840346,7.05018,0
2.5325422,3.7163281,8.587246,5.7224054,0
2.8921711,1.5123938,8.112319,6.800451,0
4.5916147,0.52596885,6.7041745,6.919968,0
2.2319736,-1.6760215,7.816645,7.3194942,0
3.6623728,0.07541911,9.027209,7.8967104,0
